age,gender,city_tier,urban_rural,education,income_band,occupation,weight,agent_i,scenario,price,sample_no,intent_idx
18-24,female,tier2,urban,highschool_below,5-10k,student,1.182747512492266,0,audience,299.0,0,1
18-24,female,tier2,urban,highschool_below,5-10k,student,1.182747512492266,0,audience,299.0,1,1
18-24,female,tier2,urban,highschool_below,5-10k,student,1.182747512492266,0,audience,299.0,2,1
18-24,male,tier3plus,rural,highschool_below,<5k,white_collar,0.9703549235935426,1,audience,299.0,0,2
18-24,male,tier3plus,rural,highschool_below,<5k,white_collar,0.9703549235935426,1,audience,299.0,1,3
18-24,male,tier3plus,rural,highschool_below,<5k,white_collar,0.9703549235935426,1,audience,299.0,2,2
25-34,female,tier3plus,rural,highschool_below,<5k,blue_collar,0.9877591980602868,2,audience,299.0,0,3
25-34,female,tier3plus,rural,highschool_below,<5k,blue_collar,0.9877591980602868,2,audience,299.0,1,1
25-34,female,tier3plus,rural,highschool_below,<5k,blue_collar,0.9877591980602868,2,audience,299.0,2,2
25-34,female,tier1,urban,highschool_below,5-10k,blue_collar,1.078829595364167,3,audience,299.0,0,0
25-34,female,tier1,urban,highschool_below,5-10k,blue_collar,1.078829595364167,3,audience,299.0,1,0
25-34,female,tier1,urban,highschool_below,5-10k,blue_collar,1.078829595364167,3,audience,299.0,2,3
35-44,male,tier3plus,rural,highschool_below,<5k,blue_collar,1.0081364580964176,4,audience,299.0,0,3
35-44,male,tier3plus,rural,highschool_below,<5k,blue_collar,1.0081364580964176,4,audience,299.0,1,3
35-44,male,tier3plus,rural,highschool_below,<5k,blue_collar,1.0081364580964176,4,audience,299.0,2,3
45-54,female,tier1,urban,highschool_below,<5k,service,1.0346296025484258,5,audience,299.0,0,3
45-54,female,tier1,urban,highschool_below,<5k,service,1.0346296025484258,5,audience,299.0,1,3
45-54,female,tier1,urban,highschool_below,<5k,service,1.0346296025484258,5,audience,299.0,2,3
25-34,male,tier1,urban,bachelor,10-20k,professional,0.9234783005849596,6,audience,299.0,0,1
25-34,male,tier1,urban,bachelor,10-20k,professional,0.9234783005849596,6,audience,299.0,1,3
25-34,male,tier1,urban,bachelor,10-20k,professional,0.9234783005849596,6,audience,299.0,2,2
25-34,male,tier2,urban,highschool_below,5-10k,service,1.017448028346042,7,audience,299.0,0,3
25-34,male,tier2,urban,highschool_below,5-10k,service,1.017448028346042,7,audience,299.0,1,1
25-34,male,tier2,urban,highschool_below,5-10k,service,1.017448028346042,7,audience,299.0,2,2
45-54,female,tier2,urban,highschool_below,<5k,white_collar,0.9662507689379436,8,audience,299.0,0,0
45-54,female,tier2,urban,highschool_below,<5k,white_collar,0.9662507689379436,8,audience,299.0,1,2
45-54,female,tier2,urban,highschool_below,<5k,white_collar,0.9662507689379436,8,audience,299.0,2,3
25-34,female,tier2,urban,highschool_below,5-10k,blue_collar,1.0194924507909122,9,audience,299.0,0,1
25-34,female,tier2,urban,highschool_below,5-10k,blue_collar,1.0194924507909122,9,audience,299.0,1,2
25-34,female,tier2,urban,highschool_below,5-10k,blue_collar,1.0194924507909122,9,audience,299.0,2,2
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,10,audience,299.0,0,3
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,10,audience,299.0,1,3
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,10,audience,299.0,2,3
55-64,female,tier3plus,urban,highschool_below,<5k,blue_collar,0.9877586877782106,11,audience,299.0,0,2
55-64,female,tier3plus,urban,highschool_below,<5k,blue_collar,0.9877586877782106,11,audience,299.0,1,1
55-64,female,tier3plus,urban,highschool_below,<5k,blue_collar,0.9877586877782106,11,audience,299.0,2,0
18-24,male,tier1,urban,bachelor,20-40k,service,1.1083974201017748,12,audience,299.0,0,1
