age,gender,city_tier,urban_rural,education,income_band,occupation,weight,agent_i,scenario,price,sample_no,intent_idx
35-44,female,tier2,rural,college,40k+,blue_collar,0.8077126424725731,0,audience,499.0,0,1
35-44,female,tier2,rural,college,40k+,blue_collar,0.8077126424725731,0,audience,499.0,1,1
35-44,female,tier2,rural,college,40k+,blue_collar,0.8077126424725731,0,audience,499.0,2,1
25-34,female,tier2,urban,college,<5k,blue_collar,0.9192264595019544,1,audience,499.0,0,2
25-34,female,tier2,urban,college,<5k,blue_collar,0.9192264595019544,1,audience,499.0,1,3
25-34,female,tier2,urban,college,<5k,blue_collar,0.9192264595019544,1,audience,499.0,2,2
25-34,female,tier1,urban,college,<5k,blue_collar,0.9727278594198392,2,audience,499.0,0,3
25-34,female,tier1,urban,college,<5k,blue_collar,0.9727278594198392,2,audience,499.0,1,1
25-34,female,tier1,urban,college,<5k,blue_collar,0.9727278594198392,2,audience,499.0,2,2
35-44,male,tier1,urban,highschool_below,<5k,service,1.0376448736121882,3,audience,499.0,0,1
35-44,male,tier1,urban,highschool_below,<5k,service,1.0376448736121882,3,audience,499.0,1,1
35-44,male,tier1,urban,highschool_below,<5k,service,1.0376448736121882,3,audience,499.0,2,3
65+,male,tier1,urban,highschool_below,5-10k,retired,1.0826698443751377,4,audience,499.0,0,3
65+,male,tier1,urban,highschool_below,5-10k,retired,1.0826698443751377,4,audience,499.0,1,3
65+,male,tier1,urban,highschool_below,5-10k,retired,1.0826698443751377,4,audience,499.0,2,3
45-54,female,tier1,rural,highschool_below,10-20k,retired,0.9452157230867306,5,audience,499.0,0,3
45-54,female,tier1,rural,highschool_below,10-20k,retired,0.9452157230867306,5,audience,499.0,1,3
45-54,female,tier1,rural,highschool_below,10-20k,retired,0.9452157230867306,5,audience,499.0,2,3
25-34,male,tier1,urban,college,<5k,blue_collar,0.9875788049520652,6,audience,499.0,0,3
25-34,male,tier1,urban,college,<5k,blue_collar,0.9875788049520652,6,audience,499.0,1,3
25-34,male,tier1,urban,college,<5k,blue_collar,0.9875788049520652,6,audience,499.0,2,0
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,7,audience,499.0,0,3
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,7,audience,499.0,1,3
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,7,audience,499.0,2,3
65+,female,tier1,urban,highschool_below,<5k,retired,1.0223402863434443,8,audience,499.0,0,1
65+,female,tier1,urban,highschool_below,<5k,retired,1.0223402863434443,8,audience,499.0,1,2
65+,female,tier1,urban,highschool_below,<5k,retired,1.0223402863434443,8,audience,499.0,2,3
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,9,audience,499.0,0,1
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,9,audience,499.0,1,2
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,9,audience,499.0,2,2
25-34,female,tier2,rural,highschool_below,<5k,blue_collar,0.9568633813286938,10,audience,499.0,0,3
25-34,female,tier2,rural,highschool_below,<5k,blue_collar,0.9568633813286938,10,audience,499.0,1,3
25-34,female,tier2,rural,highschool_below,<5k,blue_collar,0.9568633813286938,10,audience,499.0,2,3
18-24,female,tier1,urban,highschool_below,<5k,service,1.0126468766797123,11,audience,499.0,0,2
18-24,female,tier1,urban,highschool_below,<5k,service,1.0126468766797123,11,audience,499.0,1,1
18-24,female,tier1,urban,highschool_below,<5k,service,1.0126468766797123,11,audience,499.0,2,0
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,12,audience,499.0,0,2
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,12,audience,499.0,1,2
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,12,audience,499.0,2,1
35-44,female,tier1,rural,bachelor,<5k,professional,0.9920587310202345,13,audience,499.0,0,2
35-44,female,tier1,rural,bachelor,<5k,professional,0.9920587310202345,13,audience,499.0,1,2
35-44,female,tier1,rural,bachelor,<5k,professional,0.9920587310202345,13,audience,499.0,2,0
55-64,male,tier1,urban,college,<5k,blue_collar,0.9668466930809202,14,audience,499.0,0,3
55-64,male,tier1,urban,college,<5k,blue_collar,0.9668466930809202,14,audience,499.0,1,3
55-64,male,tier1,urban,college,<5k,blue_collar,0.9668466930809202,14,audience,499.0,2,2
25-34,female,tier1,urban,college,<5k,blue_collar,0.9727278594198392,15,audience,499.0,0,3
25-34,female,tier1,urban,college,<5k,blue_collar,0.9727278594198392,15,audience,499.0,1,1
25-34,female,tier1,urban,college,<5k,blue_collar,0.9727278594198392,15,audience,499.0,2,2
45-54,female,tier1,urban,highschool_below,<5k,retired,1.0699464457866747,16,audience,499.0,0,3
45-54,female,tier1,urban,highschool_below,<5k,retired,1.0699464457866747,16,audience,499.0,1,3
45-54,female,tier1,urban,highschool_below,<5k,retired,1.0699464457866747,16,audience,499.0,2,3
18-24,female,tier1,urban,postgrad,<5k,service,1.0856393014578578,17,audience,499.0,0,2
18-24,female,tier1,urban,postgrad,<5k,service,1.0856393014578578,17,audience,499.0,1,3
18-24,female,tier1,urban,postgrad,<5k,service,1.0856393014578578,17,audience,499.0,2,2
65+,male,tier2,rural,highschool_below,<5k,retired,0.960269474069912,18,audience,499.0,0,2
65+,male,tier2,rural,highschool_below,<5k,retired,0.960269474069912,18,audience,499.0,1,3
65+,male,tier2,rural,highschool_below,<5k,retired,0.960269474069912,18,audience,499.0,2,2
18-24,female,tier2,urban,highschool_below,<5k,blue_collar,0.973512149311284,19,audience,499.0,0,3
18-24,female,tier2,urban,highschool_below,<5k,blue_collar,0.973512149311284,19,audience,499.0,1,2
18-24,female,tier2,urban,highschool_below,<5k,blue_collar,0.973512149311284,19,audience,499.0,2,2
25-34,female,tier1,urban,highschool_below,<5k,service,1.016671165891432,20,audience,499.0,0,3
25-34,female,tier1,urban,highschool_below,<5k,service,1.016671165891432,20,audience,499.0,1,2
25-34,female,tier1,urban,highschool_below,<5k,service,1.016671165891432,20,audience,499.0,2,2
45-54,male,tier2,urban,bachelor,<5k,retired,1.090491866136556,21,audience,499.0,0,3
45-54,male,tier2,urban,bachelor,<5k,retired,1.090491866136556,21,audience,499.0,1,2
45-54,male,tier2,urban,bachelor,<5k,retired,1.090491866136556,21,audience,499.0,2,2
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,22,audience,499.0,0,1
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,22,audience,499.0,1,3
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,22,audience,499.0,2,3
65+,male,tier1,urban,college,<5k,service,0.9439682840434008,23,audience,499.0,0,3
65+,male,tier1,urban,college,<5k,service,0.9439682840434008,23,audience,499.0,1,0
65+,male,tier1,urban,college,<5k,service,0.9439682840434008,23,audience,499.0,2,3
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,24,audience,499.0,0,2
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,24,audience,499.0,1,2
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,24,audience,499.0,2,3
25-34,female,tier2,urban,highschool_below,<5k,service,0.9607528223335744,25,audience,499.0,0,2
25-34,female,tier2,urban,highschool_below,<5k,service,0.9607528223335744,25,audience,499.0,1,2
25-34,female,tier2,urban,highschool_below,<5k,service,0.9607528223335744,25,audience,499.0,2,3
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,26,audience,499.0,0,0
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,26,audience,499.0,1,1
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,26,audience,499.0,2,3
45-54,female,tier1,rural,bachelor,<5k,professional,1.0042779912202042,27,audience,499.0,0,2
45-54,female,tier1,rural,bachelor,<5k,professional,1.0042779912202042,27,audience,499.0,1,0
45-54,female,tier1,rural,bachelor,<5k,professional,1.0042779912202042,27,audience,499.0,2,3
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,28,audience,499.0,0,3
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,28,audience,499.0,1,1
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,28,audience,499.0,2,3
45-54,male,tier1,urban,postgrad,<5k,professional,1.051058719501025,29,audience,499.0,0,2
45-54,male,tier1,urban,postgrad,<5k,professional,1.051058719501025,29,audience,499.0,1,2
45-54,male,tier1,urban,postgrad,<5k,professional,1.051058719501025,29,audience,499.0,2,1
55-64,male,tier2,urban,bachelor,<5k,service,1.0144409035228237,30,audience,499.0,0,2
55-64,male,tier2,urban,bachelor,<5k,service,1.0144409035228237,30,audience,499.0,1,2
55-64,male,tier2,urban,bachelor,<5k,service,1.0144409035228237,30,audience,499.0,2,3
25-34,female,tier2,urban,highschool_below,<5k,blue_collar,0.9773809159368232,31,audience,499.0,0,3
25-34,female,tier2,urban,highschool_below,<5k,blue_collar,0.9773809159368232,31,audience,499.0,1,1
25-34,female,tier2,urban,highschool_below,<5k,blue_collar,0.9773809159368232,31,audience,499.0,2,0
35-44,male,tier1,urban,highschool_below,<5k,service,1.0376448736121882,32,audience,499.0,0,0
35-44,male,tier1,urban,highschool_below,<5k,service,1.0376448736121882,32,audience,499.0,1,2
35-44,male,tier1,urban,highschool_below,<5k,service,1.0376448736121882,32,audience,499.0,2,3
35-44,female,tier2,urban,highschool_below,<5k,blue_collar,0.9825432736600368,33,audience,499.0,0,3
35-44,female,tier2,urban,highschool_below,<5k,blue_collar,0.9825432736600368,33,audience,499.0,1,2
35-44,female,tier2,urban,highschool_below,<5k,blue_collar,0.9825432736600368,33,audience,499.0,2,2
45-54,female,tier2,urban,highschool_below,<5k,blue_collar,0.9946453312733344,34,audience,499.0,0,0
45-54,female,tier2,urban,highschool_below,<5k,blue_collar,0.9946453312733344,34,audience,499.0,1,1
45-54,female,tier2,urban,highschool_below,<5k,blue_collar,0.9946453312733344,34,audience,499.0,2,3
35-44,male,tier2,urban,highschool_below,5-10k,blue_collar,1.040524361012992,35,audience,499.0,0,1
35-44,male,tier2,urban,highschool_below,5-10k,blue_collar,1.040524361012992,35,audience,499.0,1,1
35-44,male,tier2,urban,highschool_below,5-10k,blue_collar,1.040524361012992,35,audience,499.0,2,2
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,36,audience,499.0,0,3
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,36,audience,499.0,1,2
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,36,audience,499.0,2,3
45-54,male,tier1,urban,highschool_below,<5k,blue_collar,1.0686057145725365,37,audience,499.0,0,3
45-54,male,tier1,urban,highschool_below,<5k,blue_collar,1.0686057145725365,37,audience,499.0,1,2
45-54,male,tier1,urban,highschool_below,<5k,blue_collar,1.0686057145725365,37,audience,499.0,2,1
25-34,female,tier2,urban,highschool_below,<5k,blue_collar,0.9773809159368232,38,audience,499.0,0,0
25-34,female,tier2,urban,highschool_below,<5k,blue_collar,0.9773809159368232,38,audience,499.0,1,0
25-34,female,tier2,urban,highschool_below,<5k,blue_collar,0.9773809159368232,38,audience,499.0,2,1
25-34,male,tier1,urban,highschool_below,<5k,blue_collar,1.0500575423675436,39,audience,499.0,0,1
25-34,male,tier1,urban,highschool_below,<5k,blue_collar,1.0500575423675436,39,audience,499.0,1,2
25-34,male,tier1,urban,highschool_below,<5k,blue_collar,1.0500575423675436,39,audience,499.0,2,0
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,40,audience,499.0,0,0
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,40,audience,499.0,1,0
45-54,female,tier2,urban,highschool_below,<5k,service,0.9777235197249732,40,audience,499.0,2,2
25-34,female,tier2,urban,highschool_below,5-10k,service,1.0021479174333034,41,audience,499.0,0,3
25-34,female,tier2,urban,highschool_below,5-10k,service,1.0021479174333034,41,audience,499.0,1,2
25-34,female,tier2,urban,highschool_below,5-10k,service,1.0021479174333034,41,audience,499.0,2,3
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,42,audience,499.0,0,1
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,42,audience,499.0,1,3
35-44,male,tier2,urban,highschool_below,<5k,blue_collar,0.9975440742425168,42,audience,499.0,2,3
35-44,male,tier1,urban,college,<5k,blue_collar,0.9927950261692944,43,audience,499.0,0,1
35-44,male,tier1,urban,college,<5k,blue_collar,0.9927950261692944,43,audience,499.0,1,2
35-44,male,tier1,urban,college,<5k,blue_collar,0.9927950261692944,43,audience,499.0,2,3
45-54,female,tier1,urban,highschool_below,<5k,white_collar,1.022489107462185,44,audience,499.0,0,2
45-54,female,tier1,urban,highschool_below,<5k,white_collar,1.022489107462185,44,audience,499.0,1,1
45-54,female,tier1,urban,highschool_below,<5k,white_collar,1.022489107462185,44,audience,499.0,2,1
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,45,audience,499.0,0,2
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,45,audience,499.0,1,1
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,45,audience,499.0,2,3
55-64,male,tier1,urban,highschool_below,<5k,blue_collar,1.0280138225850404,46,audience,499.0,0,2
55-64,male,tier1,urban,highschool_below,<5k,blue_collar,1.0280138225850404,46,audience,499.0,1,2
55-64,male,tier1,urban,highschool_below,<5k,blue_collar,1.0280138225850404,46,audience,499.0,2,2
45-54,female,tier2,urban,highschool_below,<5k,blue_collar,0.9946453312733344,47,audience,499.0,0,3
45-54,female,tier2,urban,highschool_below,<5k,blue_collar,0.9946453312733344,47,audience,499.0,1,3
45-54,female,tier2,urban,highschool_below,<5k,blue_collar,0.9946453312733344,47,audience,499.0,2,3
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,48,audience,499.0,0,2
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,48,audience,499.0,1,2
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,48,audience,499.0,2,3
65+,female,tier2,urban,college,5-10k,retired,0.9477754577245264,49,audience,499.0,0,3
65+,female,tier2,urban,college,5-10k,retired,0.9477754577245264,49,audience,499.0,1,2
65+,female,tier2,urban,college,5-10k,retired,0.9477754577245264,49,audience,499.0,2,2
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,50,audience,499.0,0,3
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,50,audience,499.0,1,0
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,50,audience,499.0,2,3
18-24,male,tier2,urban,highschool_below,<5k,blue_collar,0.9883750688466656,51,audience,499.0,0,2
18-24,male,tier2,urban,highschool_below,<5k,blue_collar,0.9883750688466656,51,audience,499.0,1,3
18-24,male,tier2,urban,highschool_below,<5k,blue_collar,0.9883750688466656,51,audience,499.0,2,3
25-34,male,tier1,urban,highschool_below,<5k,professional,0.9633743000883076,52,audience,499.0,0,1
25-34,male,tier1,urban,highschool_below,<5k,professional,0.9633743000883076,52,audience,499.0,1,2
25-34,male,tier1,urban,highschool_below,<5k,professional,0.9633743000883076,52,audience,499.0,2,1
65+,male,tier2,urban,highschool_below,5-10k,service,0.9893502381460348,53,audience,499.0,0,3
65+,male,tier2,urban,highschool_below,5-10k,service,0.9893502381460348,53,audience,499.0,1,0
65+,male,tier2,urban,highschool_below,5-10k,service,0.9893502381460348,53,audience,499.0,2,3
25-34,male,tier2,urban,highschool_below,<5k,blue_collar,0.9923029011624448,54,audience,499.0,0,2
25-34,male,tier2,urban,highschool_below,<5k,blue_collar,0.9923029011624448,54,audience,499.0,1,2
25-34,male,tier2,urban,highschool_below,<5k,blue_collar,0.9923029011624448,54,audience,499.0,2,3
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,55,audience,499.0,0,1
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,55,audience,499.0,1,2
45-54,male,tier2,urban,highschool_below,<5k,blue_collar,1.0098308978175388,55,audience,499.0,2,3
18-24,male,tier1,rural,bachelor,<5k,blue_collar,1.0877410562873475,56,audience,499.0,0,2
18-24,male,tier1,rural,bachelor,<5k,blue_collar,1.0877410562873475,56,audience,499.0,1,0
18-24,male,tier1,rural,bachelor,<5k,blue_collar,1.0877410562873475,56,audience,499.0,2,2
65+,male,tier1,urban,highschool_below,5-10k,service,1.0469330265903334,57,audience,499.0,0,1
65+,male,tier1,urban,highschool_below,5-10k,service,1.0469330265903334,57,audience,499.0,1,3
65+,male,tier1,urban,highschool_below,5-10k,service,1.0469330265903334,57,audience,499.0,2,2
65+,female,tier2,urban,college,<5k,retired,0.9086262916950444,58,audience,499.0,0,2
65+,female,tier2,urban,college,<5k,retired,0.9086262916950444,58,audience,499.0,1,2
65+,female,tier2,urban,college,<5k,retired,0.9086262916950444,58,audience,499.0,2,1
55-64,female,tier2,urban,highschool_below,<5k,blue_collar,0.9568628870075708,59,audience,499.0,0,3
55-64,female,tier2,urban,highschool_below,<5k,blue_collar,0.9568628870075708,59,audience,499.0,1,3
55-64,female,tier2,urban,highschool_below,<5k,blue_collar,0.9568628870075708,59,audience,499.0,2,2
55-64,male,tier2,urban,highschool_below,<5k,blue_collar,0.971471616961324,60,audience,499.0,0,2
55-64,male,tier2,urban,highschool_below,<5k,blue_collar,0.971471616961324,60,audience,499.0,1,2
55-64,male,tier2,urban,highschool_below,<5k,blue_collar,0.971471616961324,60,audience,499.0,2,1
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,61,audience,499.0,0,2
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,61,audience,499.0,1,3
65+,male,tier1,urban,highschool_below,<5k,retired,1.0379486805729867,61,audience,499.0,2,1
25-34,female,tier1,urban,bachelor,<5k,service,1.0800138581564254,62,audience,499.0,0,3
25-34,female,tier1,urban,bachelor,<5k,service,1.0800138581564254,62,audience,499.0,1,3
25-34,female,tier1,urban,bachelor,<5k,service,1.0800138581564254,62,audience,499.0,2,0
65+,male,tier1,urban,bachelor,<5k,blue_collar,1.0846752945670006,63,audience,499.0,0,1
65+,male,tier1,urban,bachelor,<5k,blue_collar,1.0846752945670006,63,audience,499.0,1,3
65+,male,tier1,urban,bachelor,<5k,blue_collar,1.0846752945670006,63,audience,499.0,2,2
45-54,female,tier2,urban,highschool_below,5-10k,professional,0.9518540575703524,64,audience,499.0,0,2
45-54,female,tier2,urban,highschool_below,5-10k,professional,0.9518540575703524,64,audience,499.0,1,1
45-54,female,tier2,urban,highschool_below,5-10k,professional,0.9518540575703524,64,audience,499.0,2,2
65+,female,tier1,urban,highschool_below,<5k,retired,1.0223402863434443,65,audience,499.0,0,2
65+,female,tier1,urban,highschool_below,<5k,retired,1.0223402863434443,65,audience,499.0,1,3
65+,female,tier1,urban,highschool_below,<5k,retired,1.0223402863434443,65,audience,499.0,2,1
35-44,female,tier1,urban,highschool_below,<5k,white_collar,1.01004826880502,66,audience,499.0,0,1
35-44,female,tier1,urban,highschool_below,<5k,white_collar,1.01004826880502,66,audience,499.0,1,3
35-44,female,tier1,urban,highschool_below,<5k,white_collar,1.01004826880502,66,audience,499.0,2,2
18-24,male,tier1,urban,bachelor,<5k,student,1.2941062939095371,67,audience,499.0,0,2
18-24,male,tier1,urban,bachelor,<5k,student,1.2941062939095371,67,audience,499.0,1,2
18-24,male,tier1,urban,bachelor,<5k,student,1.2941062939095371,67,audience,499.0,2,2
65+,male,tier2,urban,highschool_below,<5k,retired,0.98086004379158,68,audience,499.0,0,2
65+,male,tier2,urban,highschool_below,<5k,retired,0.98086004379158,68,audience,499.0,1,0
65+,male,tier2,urban,highschool_below,<5k,retired,0.98086004379158,68,audience,499.0,2,2
65+,female,tier2,urban,highschool_below,<5k,blue_collar,0.9503896169648964,69,audience,499.0,0,2
65+,female,tier2,urban,highschool_below,<5k,blue_collar,0.9503896169648964,69,audience,499.0,1,2
65+,female,tier2,urban,highschool_below,<5k,blue_collar,0.9503896169648964,69,audience,499.0,2,3
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,70,audience,499.0,0,3
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,70,audience,499.0,1,3
65+,female,tier2,urban,highschool_below,<5k,retired,0.9661101331899729,70,audience,499.0,2,3
